program_id,TGAT,TGAT1 91 การสื่อสารภาษาอังกฤษ,TGAT2 92 การคิดอย่างมีเหตุผล,TGAT3 93 สมรรถนะการทำงาน,TPAT2 20 ความถนัดศิลปกรรมศาสตร์,TPAT3 30 ความถนัดด้านวิทยาศาสตร์ เทคโนโลยี และวิศวกรรมศาสตร์,TPAT4 40 ความถนัดทางสถาปัตยกรรม,TPAT5 50 ความถนัดครุศาสตร์-ศึกษาศาสตร์,TPAT1-1 10 วิชาเฉพาะ ความถนัดทางวิชาชีพครู,TPAT1-2 10 วิชาเฉพาะ ความถนัดทางวิชาชีพครู,TPAT1-3 10 วิชาเฉพาะ ความถนัดทางวิชาชีพครู,A-Level 61 Math1 วิชาคณิตศาสตร์ประยุกต์ 1,A-Level 62 Math2 วิชาคณิตศาสตร์ประยุกต์ 2,A-Level 63 Sci วิทยาศาสตร์ประยุกต์,A-Level 64 Phy วิชาฟิสิกส์,A-Level 65 Chem วิชาเคมี,A-Level 66 Bio วิชาชีววิทยา,A-Level 70 Soc สังคมศึกษา,A-Level 81 Thai ภาษาไทย,A-Level 82 Eng ภาษาอังกฤษ,A-Level 83 Fra ภาษาฝรั่งเศส,A-Level 84 Deu ภาษาเยอรมัน,A-Level 85 Jpn ภาษาญี่ปุ่น,A-Level 86 Kor ภาษาเกาหลี,A-Level 87 Chn ภาษาจีน,A-Level 88 Bal ภาษาบาลี,A-Level 89 Esp ภาษาสเปน,คะแนนรวม,วิชาที่คำนวณ,ประเภทการคำนวณ
10010121300001A,20.0,0,0,0,0,30,0,0,0,0,0,20.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121300501A,20.0,0,0,0,0,40,0,0,0,0,0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121300599A,20.0,0,0,0,0,30,0,0,0,0,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121300601E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121301101A,20.0,0,0,0,0,30,0,0,0,0,0,20.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121301601A,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121301801E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121302002E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121302101A,20.0,0,0,0,0,30,0,0,0,0,0,20.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121302501A,20.0,0,0,0,0,30,0,0,0,0,0,20.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121302502E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121302701A,20.0,0,0,0,0,40,0,0,0,0,0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121302801A,20.0,0,0,0,0,30,0,0,0,0,0,20.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121302901E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121303001A,20.0,0,0,0,0,30,0,0,0,0,0,20.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121303201E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121303401E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010121303501A,20.0,0,0,0,0,30,0,0,0,0,0,20.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010122904301A,0.0,0,0,0,0,0,0,0,0,0,0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25,25,25,25,25,25,25,0,,0
10010122904301E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210301A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210401A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210402A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210403E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210501A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210601A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210701A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123210901A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123211001A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123211201E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123212101E,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123212301A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
10010123212501A,20.0,0,0,0,0,80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0
