_id,university_type_id,university_type_name_th,university_id,university_name_th,university_name_en,campus_id,campus_name_th,campus_name_en,faculty_id,faculty_name_th,faculty_name_en,group_field_id,group_field_th,field_id,field_name_th,field_name_en,program_running_number,program_name_th,program_name_en,program_type_id,program_type_name_th,program_id,number_acceptance_mko2,cost
6715fb30deea14086a61f76f,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,0,วิศวกรรมทั่วไป,General Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,Bachelor of Engineering Program,A,ภาษาไทย ปกติ,10010121300001A,0.0,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
6715fb30deea14086a61f770,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,5,วิศวกรรมคอมพิวเตอร์,Computer Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,A,ภาษาไทย ปกติ,10010121300501A,140.0,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
6715fb30deea14086a61f771,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,5,วิศวกรรมคอมพิวเตอร์,Computer Engineering,99,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,A,ภาษาไทย ปกติ,10010121300599A,300.0,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
6715fb30deea14086a61f783,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,6,วิศวกรรมเคมี,Chemical Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเคมีและกระบวนการ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Chemical and Process Engineering (International Program),E,นานาชาติ,10010121300601E,40.0,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/
6715fb30deea14086a61f774,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,11,วิศวกรรมนิวเคลียร์,Nuclear Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,Bachelor of Engineering Program in Nuclear and Radiological Engineering,A,ภาษาไทย ปกติ,10010121301101A,20.0,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
6715fb30deea14086a61f776,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,16,วิศวกรรมไฟฟ้า,Electrical Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า,Bachelor of Engineering Program in Electrical Engineering,A,ภาษาไทย ปกติ,10010121301601A,120.0,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
6715fb30deea14086a61f777,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,18,วิศวกรรมไฟฟ้าสื่อสาร วิศวกรรมโทรคมนาคม,Electrical Communication Engineering/Electronic Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสารสนเทศและการสื่อสาร (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Information and Communication Engineering (International Program),E,นานาชาติ,10010121301801E,100.0,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/
6715fb30deea14086a61f779,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,20,วิศวกรรมยานยนต์,Automotive Engineering,2,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมการออกแบบและการผลิตยานยนต์ (หลักสูตรนานาชาติ),Bachelor of Engineering Program in Automotive Design and Manufacturing Engineering (International Program),E,นานาชาติ,10010121302002E,50.0,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/
6715fb30deea14086a61f77a,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,21,วิศวกรรมโยธา,Civil Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,Bachelor of Engineering Program in Civil Engineering,A,ภาษาไทย ปกติ,10010121302101A,100.0,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
6715fb30deea14086a61f77b,1,ทปอ.,1,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,1,วิทยาเขตหลัก,Main Campus,21,คณะวิศวกรรมศาสตร์,Faculty of Engineering,30,วิศวกรรมศาสตร์,25,วิศวกรรมวัสดุ,Materials Engineering,1,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,Bachelor of Engineering Program in Metallurgical and Materials Engineering,A,ภาษาไทย ปกติ,10010121302501A,55.0,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/"
